Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-06-27,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1960,1850,1900,Bihar,Masoor Gola,2003,6,27,4
2003-06-27,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,980,1015,Bihar,Medium,2003,6,27,4
2003-06-27,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2545,2600,Bihar,Arhar Dal(Tur),2003,6,27,4
2003-06-27,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,390,410,Bihar,Desi,2003,6,27,4
2003-06-27,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6050,5600,5700,Bihar,Other,2003,6,27,4
2003-06-27,Onion,23,Bhagalpur,FAQ,Bhagalpur,625,465,565,Bihar,Pusa-Red,2003,6,27,4
2003-06-27,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2100,1970,2030,Bihar,Desi (F.A.Q. Split),2003,6,27,4
2003-06-27,Wheat,1,Bhagalpur,FAQ,Bhagalpur,730,600,665,Bihar,Deshi,2003,6,27,4
2003-06-28,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2100,1980,2030,Bihar,Desi (F.A.Q. Split),2003,6,28,5
2003-06-28,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2550,2600,Bihar,Arhar Dal(Tur),2003,6,28,5
2003-06-28,Onion,23,Bhagalpur,FAQ,Bhagalpur,625,500,600,Bihar,Pusa-Red,2003,6,28,5
2003-06-28,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,390,415,Bihar,Desi,2003,6,28,5
2003-06-28,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1880,1800,1825,Bihar,Other,2003,6,28,5
2003-06-28,Wheat,1,Bhagalpur,FAQ,Bhagalpur,735,615,670,Bihar,Deshi,2003,6,28,5
2003-06-28,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1960,1860,1900,Bihar,Masoor Gola,2003,6,28,5
2003-06-28,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,610,510,530,Bihar,Paddy fine,2003,6,28,5
2003-06-28,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6050,5680,5700,Bihar,Other,2003,6,28,5
2003-06-28,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,980,1015,Bihar,Medium,2003,6,28,5
2003-06-30,Onion,23,Bhagalpur,FAQ,Bhagalpur,675,600,650,Bihar,Pusa-Red,2003,6,30,0
2003-06-30,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1000,1020,Bihar,Medium,2003,6,30,0
